Mandeville_ID	Common_Name	1	2	3	4	5	6	7	8	9	10	11
AMP19_0002	Western_Blacknose_Dace	7.15049461271637e-05	3.63741370251555e-05	0.514199799696604	0.011082667586316	3.73210294734928e-05	0.000123785344344441	0.360600816001495	0.000132791209614666	4.59962773065829e-05	0.0279589963865777	0.0857099473706136
AMP19_0003	Western_Blacknose_Dace	1.92888453523275e-05	0.0879110402638714	0.530936000853777	3.93987522044684e-05	6.94562134536397e-05	0.0162566547864117	0.273692388370633	3.74491139034577e-05	5.58543220437542e-05	0.0171427794256791	0.0738396889381111
AMP19_0004	Western_Blacknose_Dace	3.58328866331101e-06	0.00298908160002126	0.00652987795511118	1.05109575931695e-05	1.93568288243448e-05	0.0632226606955131	0.00536085331044051	6.63218618155458e-05	2.43906706024216e-05	0.000367555344145874	0.921405807892481
AMP19_0005	Western_Blacknose_Dace	3.32415202773757e-06	5.65466675218579e-06	0.0473292419264714	1.34268032587743e-05	0.93544426103433	0.0164477687279383	0.000155633171482368	1.50583635805003e-05	2.44442110605733e-05	1.42547166025756e-05	0.000546932378631142
AMP19_0007	Western_Blacknose_Dace	4.68506118197826e-06	3.47712653427387e-06	0.96960292639335	7.36074159018365e-06	1.44057099965733e-05	0.0301037242387732	4.55151039275587e-05	9.45222069464698e-06	4.37401273123133e-05	0.000105530992741145	5.91826907785932e-05
AMP19_0008	Western_Blacknose_Dace	3.73099492927662e-06	7.50342968245634e-06	0.90913903037707	2.67765185034734e-05	2.06705440090302e-05	0.0623076757229865	4.33554003619791e-05	0.00595089522009948	4.82795236443206e-05	8.79309173013025e-06	0.0224432898107916
AMP19_0009	Western_Blacknose_Dace	3.34916612501176e-06	4.98901113558749e-06	3.21728764230182e-05	6.78399606209314e-06	1.13925756167187e-05	4.80444802538288e-06	2.54860156206995e-05	7.10061396632923e-06	2.41356527215463e-05	9.69580776277722e-06	0.999870089848836
AMP22_0004	Creek_Chub	1.21235895227782e-05	5.91931181094745e-06	0.838568832695484	6.28495435729538e-06	1.41615983126757e-05	8.007622993521e-06	0.156333735490839	2.61003198812832e-05	2.89470480986579e-05	2.62164561498987e-05	0.00496967071373566
AMP22_0005	Western_Blacknose_Dace	0.00547636915801559	0.00408376887613364	0.000138641904516059	7.7916960731714e-05	1.03973267384755e-05	8.51087020981744e-06	0.0295975988789772	2.67262964235441e-05	0.000112006686953386	1.32420495702217e-05	0.960454821209113
AMP22_0007	Western_Blacknose_Dace	3.63088757352132e-06	4.11871347587102e-06	0.00151664592436622	7.74176090510073e-06	7.25225571973234e-06	8.47092301840234e-06	0.0265667337734873	2.63450550539428e-05	3.83544641835662e-05	9.79505280656042e-06	0.971810911556085
AMP22_0011	Western_Blacknose_Dace	0.00213538996875771	9.18992302674514e-06	0.000263031923302046	9.24904598027508e-06	1.29693726000141e-05	8.74394930263579e-06	0.000161720638107892	1.41952022478841e-05	4.21866996251386e-05	1.12233447365576e-05	0.997332099715869
AMP22_0013	Western_Blacknose_Dace	4.43130020804239e-06	7.38423227304098e-06	0.0295930674757637	1.54059545298714e-05	2.5814005688568e-05	9.77320501027448e-06	5.26690463890363e-05	3.51196319428697e-05	0.000362717230280529	2.65364446714218e-05	0.96986708154281
AMP22_0014	Western_Blacknose_Dace	3.30985412944898e-06	4.32259430067715e-06	0.000301152061802823	7.04107356955967e-06	1.09740945435968e-05	4.32211553481065e-06	7.79436571861724e-05	6.54376996176355e-06	2.71395113080421e-05	8.32984667221166e-06	0.999548921664556
AMP22_0015	Western_Blacknose_Dace	5.3555520614939e-05	4.60701992487225e-06	9.17233935333377e-05	6.49116116009804e-06	3.1122133880823e-05	6.30854666165812e-06	0.00012503930306609	4.51469909165193e-05	3.283986670011e-05	8.88832584622921e-05	0.999514282941818
AMP22_0017	Western_Blacknose_Dace	1.07179112872989e-05	0.000203031517672224	0.000269707209360982	1.75879014039563e-05	6.73182603148453e-05	0.103663004080455	0.12275424727425	0.000926670490024332	0.000748872005852989	0.00234888356774251	0.768989959875743
AMP22_0022	Creek_Chub	0.0454333684543769	5.84339328637312e-06	0.941628991544247	0.000124961555887322	1.13085999370945e-05	8.51758318161597e-06	0.0123504309781713	4.59231557695817e-05	6.69572974924127e-05	1.84979856371432e-05	0.000305199502648146
AMP22_0023	Creek_Chub	9.06478920980759e-06	2.68200414479513e-05	0.918896333873272	0.00805337097138787	1.85264005792982e-05	0.0324286319321642	0.032345733307302	4.11262484158889e-05	4.58690988585512e-05	1.68017715550737e-05	0.00811772148406746
AMP22_0024	Creek_Chub	3.48313858781154e-05	6.08072420091972e-06	0.243212389836709	0.000988949759831419	0.00966630350546135	1.55039531456334e-05	0.00379239519618423	9.59107435264328e-05	3.96518023996382e-05	1.01033637888463e-05	0.742137879610062
AMP22_0028	Creek_Chub	4.33259641580008e-06	1.71485327740672e-05	0.455013365805149	6.02137101263835e-06	2.30230514835693e-05	7.10732945313807e-06	0.000112232261506986	1.40819960305346e-05	0.544495321671168	1.68184307289385e-05	0.000290546977864585
