Mandeville_ID	Common_Name	1	2	3	4	5	6
AMP19_0002	Western_Blacknose_Dace	2.93731139544937e-05	0.0118933871032981	0.548670024991035	2.43859701925474e-05	0.000217386765974355	0.439165442198515
AMP19_0003	Western_Blacknose_Dace	1.46786303264479e-05	3.10567331117655e-05	0.56231549975276	0.0897256680155794	0.0160431080192017	0.331869988838832
AMP19_0004	Western_Blacknose_Dace	5.98582975236139e-06	1.89319039013232e-05	0.933805478354295	0.0029438918318483	0.0568483654484153	0.00637734684257139
AMP19_0005	Western_Blacknose_Dace	7.39131778064046e-06	9.19803492038173e-05	0.98636778229475	5.45964174298667e-05	0.0134064400045512	7.18092325272672e-05
AMP19_0007	Western_Blacknose_Dace	5.26313442004083e-06	9.32791273194372e-06	0.967544579605262	6.15210568210329e-06	0.0321991674515108	0.000235509885182655
AMP19_0008	Western_Blacknose_Dace	4.72867337304009e-06	0.000804651472318455	0.933225650707881	1.58470067317283e-05	0.0657555473620693	0.000193574476522498
AMP19_0009	Western_Blacknose_Dace	1.25767577876278e-05	7.28599548904017e-06	0.999922221442064	6.00044798919997e-06	1.03800638871122e-05	4.15359753087812e-05
AMP22_0004	Creek_Chub	5.11045429696841e-06	1.23769339525466e-05	0.822133515139421	7.44815715610545e-06	1.13720552713529e-05	0.177830177299678
AMP22_0005	Western_Blacknose_Dace	0.00532943801880659	0.00011692859987885	0.972146989325682	0.00386705402665151	1.00633794705808e-05	0.0185295264173765
AMP22_0007	Western_Blacknose_Dace	4.57848995274971e-06	1.08257314419394e-05	0.985238490422567	7.79647153312933e-06	9.27791092115475e-06	0.014729030532646
AMP22_0011	Western_Blacknose_Dace	0.00205512719225468	1.07208766301959e-05	0.997810090025266	9.68192482980014e-06	1.14325957113978e-05	0.000102946980072737
AMP22_0013	Western_Blacknose_Dace	1.10585635203993e-05	1.10981163070958e-05	0.9998951207002	1.20625389471825e-05	2.16555191349751e-05	4.90046674668072e-05
AMP22_0014	Western_Blacknose_Dace	4.32935466604595e-06	6.9183419361186e-06	0.999898996671041	6.06793116904934e-06	7.77171388015876e-06	7.59171052489664e-05
AMP22_0015	Western_Blacknose_Dace	7.7688136285104e-05	1.17634019580441e-05	0.999520735025406	6.44784215158673e-06	8.83621747124618e-06	0.000374530008440398
AMP22_0017	Western_Blacknose_Dace	3.93528163307255e-05	4.77856834716275e-05	0.834956512212753	0.000417978791317383	0.096170978628099	0.0683673917707056
AMP22_0022	Creek_Chub	0.0457463778058688	9.38181183273627e-05	0.940247481783231	1.23163770187225e-05	1.67034093728647e-05	0.0138833029807292
AMP22_0023	Creek_Chub	1.25945854033984e-05	0.00821576446760446	0.923461596310139	6.33064700114399e-05	0.0346127470973879	0.0336339912270196
AMP22_0024	Creek_Chub	5.64641244760299e-05	0.0014425853303084	0.99565185101827	7.69018935821936e-06	1.69811376631216e-05	0.00282442803314232
AMP22_0028	Creek_Chub	5.62277394791279e-05	0.000439482339979196	0.782756785949071	0.0792047337517142	0.00668153009788754	0.130861240396897
AMP22_0029	Creek_Chub	7.91652486846411e-06	0.0128371835474391	0.533358894258738	0.0134244550736621	4.80908883037812e-05	0.440323459436496
AMP22_0030	Creek_Chub	4.89112842910997e-06	1.57133244970186e-05	0.990698347568512	1.05450638092331e-05	0.0089638678659685	0.000306635035203258
AMP22_0037	Creek_Chub	2.45286635016026e-05	0.0524810147471726	0.890290175120036	2.21060548086745e-05	0.000571732673199335	0.0566104431309116
AMP22_0038	Creek_Chub	7.40244306726958e-06	9.42302159222567e-06	0.999904742459456	1.21245441445311e-05	1.40837104168604e-05	5.22244569605415e-05
AMP22_0044	Creek_Chub	4.90826268131269e-06	1.04512078297144e-05	0.882393233935038	7.72189015501944e-06	1.33411916187039e-05	0.117570343459646
AMP22_0045	Creek_Chub	1.05508741336554e-05	2.34629681463035e-05	0.999779103179773	1.37660479735647e-05	1.86736973349944e-05	0.000154443677845513
AMP22_0046	Western_Blacknose_Dace	5.33436616639418e-06	8.04884982119564e-06	0.999586003820101	7.7974493472226e-06	0.000356478438004426	3.63370294757899e-05
AMP22_0048	Creek_Chub	0.000141424990037358	0.97802976189057	0.0198845887031479	0.000108777793910615	3.54130966888043e-05	0.00180003380221004
AMP22_0051	Western_Blacknose_Dace	8.95059511509177e-06	0.00243238045890948	0.997347087184588	1.11958080510601e-05	1.99823060040346e-05	0.00018040412484055
AMP22_0052	Western_Blacknose_Dace	4.7255020805597e-06	6.8056455845246e-06	0.992627373278141	9.18411823961926e-06	8.63349879657225e-06	0.00734327840894116
AMP22_0053	Creek_Chub	2.57937562401613e-05	0.00201968036209827	0.939775430878003	1.07501770422138e-05	2.21391607223581e-05	0.0581462054196745
AMP22_0054	Western_Blacknose_Dace	4.71145648911668e-06	1.31884910226758e-05	0.999940080066522	4.52955948736229e-06	6.84700732372912e-06	3.06445436582742e-05
AMP22_0058	Creek_Chub	5.69272589198965e-06	0.00307209717583464	0.982447941203912	6.23768033022001e-06	1.07213843684894e-05	0.0144573099332241
AMP22_0061	Creek_Chub	7.21515983527256e-06	6.07271753178668e-05	0.999808132032553	1.07926435397476e-05	2.64753082604975e-05	8.66583128085316e-05
AMP22_0062	Western_Blacknose_Dace	6.91185808673328e-06	5.53192508812055e-05	0.882097173571587	7.85579152006454e-06	2.25868338682987e-05	0.117810152458648
AMP22_0067	Creek_Chub	1.39928971088061e-05	1.9287974713002e-05	0.973640842099984	0.0258965670277054	4.07025617967236e-05	0.000388607870470871
