Mandeville_ID	Common_Name	1	2	3	4	5	6	7	8	9	10	11	12	13	14
AMP19_0002	Western_Blacknose_Dace	1.82415893088946e-05	0.0295391533640552	1.39555523584653e-05	8.0996010182441e-05	0.353462697441379	0.0585674330852197	1.29231782369647e-05	0.0115258867253142	0.51852892738084	4.50448857921612e-05	6.15267096322129e-05	0.00962098962013129	9.60882149443818e-05	0.0184261360565665
AMP19_0003	Western_Blacknose_Dace	3.04839529208947e-05	0.0479324557754519	1.34559873414523e-05	0.0159541571319763	0.276836192774276	0.0273138455642767	0.0891461923538397	1.74803808881402e-05	0.525847423354785	4.87167422825688e-05	0.00123985248885735	0.00557706689706237	0.000499010459707229	0.00954366642301794
AMP19_0004	Western_Blacknose_Dace	1.05735562449652e-05	0.435389314020053	4.37348033820417e-06	0.062736784402281	0.00530346588381407	0.492217882968458	0.00295706183254062	7.54334333544464e-06	0.000892449515981617	4.897888037648e-05	4.33631743319013e-05	0.000133329301403118	3.51102451945135e-05	0.000219769466267152
AMP19_0005	Western_Blacknose_Dace	0.93690516286095	0.000398101371453751	4.23977114968142e-06	0.0163488655614977	0.000101623595912868	0.000288280141375767	9.6482259685831e-06	2.05211088077539e-05	0.0458463864121586	1.40337134466897e-05	1.43665444603817e-05	1.4161382584151e-05	2.25075620622005e-05	1.21019547456224e-05
AMP19_0007	Western_Blacknose_Dace	8.30257583035556e-06	3.02495572592008e-05	3.12225180450286e-06	0.0298770347672204	2.05515781728504e-05	2.42174964998299e-05	3.66992667289668e-06	6.61292217324387e-06	0.969904708604018	1.12498047530868e-05	9.99103631322121e-06	3.30472805549665e-05	1.88393619854047e-05	4.84028913508989e-05
AMP19_0008	Western_Blacknose_Dace	2.1419652324873e-05	0.00770957254609826	2.62061182502882e-06	0.0623892279130717	3.02347947565727e-05	0.0117473404045095	7.62393700533332e-06	3.12487936853968e-05	0.911295297682285	1.51617718236269e-05	0.00489418189487807	1.08432030006878e-05	2.72263666467485e-05	0.00181800082976409
AMP19_0009	Western_Blacknose_Dace	8.24368949227715e-06	0.710533447851737	3.43668078798644e-06	4.61086880781744e-06	2.33944973672675e-05	0.289302632392833	3.37314003682373e-06	6.6393151313435e-06	7.48355368530551e-05	5.09111212189516e-06	5.8583705854455e-06	5.71561106730276e-06	1.61375611876653e-05	6.58394104799151e-06
AMP22_0004	Creek_Chub	1.475864242222e-05	0.00229918528236132	9.65014113514831e-06	7.73551578455016e-06	0.155486812432607	0.00263999040542813	5.69760790968616e-06	5.25938834412976e-06	0.839374777257442	1.98913831998998e-05	2.35676359667859e-05	3.36862122548706e-05	4.34800630556292e-05	3.55078520107505e-05
AMP22_0005	Western_Blacknose_Dace	1.37498503666666e-05	0.957571805536747	0.00546779686643276	1.04742288755392e-05	0.0314394464253758	0.000981887048540531	0.0040983656240569	5.61807808443114e-05	0.0001695404901559	4.50492740614883e-05	3.43023181923493e-05	3.30237733255073e-05	5.55388452529067e-05	2.28387683001474e-05
AMP22_0007	Western_Blacknose_Dace	8.68197090089858e-06	0.474969869482021	3.26485678288161e-06	9.80646343752754e-06	0.024518108239087	0.499260100460274	3.83084661895959e-06	6.6102788878385e-06	0.00113864006617697	1.54365431623506e-05	1.4057371173133e-05	1.53396535478754e-05	2.38495778889557e-05	1.2403926114703e-05
AMP22_0011	Western_Blacknose_Dace	9.83381836737584e-06	0.479986646141857	0.00204211666873501	6.35511756491197e-06	0.0001488716459256	0.517628061496205	6.2363335094121e-06	5.81522598933912e-06	9.99540527206866e-05	1.1702887345398e-05	8.1453116315259e-06	1.174568236581e-05	2.23895824016692e-05	1.21262727758605e-05
AMP22_0013	Western_Blacknose_Dace	3.71330662581487e-05	0.450476081764326	6.4866557951976e-06	1.49521850854611e-05	5.79724489672885e-05	0.541775879319829	9.01180208155581e-06	2.09192458305254e-05	0.00738033210034715	2.46882296485654e-05	2.57380271553464e-05	1.76567648444289e-05	0.00012795385477961	2.51947589677022e-05
AMP22_0014	Western_Blacknose_Dace	9.51728444849087e-06	0.485255452531079	2.83844191255826e-06	4.94765206616195e-06	5.07976383794265e-05	0.514586844124508	3.18411403263103e-06	6.57549931226321e-06	3.79910193011199e-05	6.5492640052464e-06	5.0970261388246e-06	6.69716708299255e-06	1.5064864835196e-05	8.44379917868112e-06
AMP22_0015	Western_Blacknose_Dace	2.58414772166908e-05	0.490217124591271	2.39973378291803e-05	6.01173679146027e-06	0.000149638546320536	0.509363981566277	3.70010320896633e-06	6.01573723600524e-06	8.83818744229548e-05	1.95435409786925e-05	1.94926727039849e-05	2.19363553911479e-05	1.69781938805907e-05	3.73560922487141e-05
AMP22_0017	Western_Blacknose_Dace	3.91651438973405e-05	0.404473542191088	1.77400975120026e-05	0.102587877264867	0.119589706276233	0.365933971942893	0.000130172484224275	4.80164121475499e-05	0.00486331395379366	0.000228702796387165	0.000163373528993224	0.00062473013069047	0.000394755989914046	0.000904931753059896
AMP22_0022	Creek_Chub	9.60275101613202e-06	0.000535774964822899	0.0453931547639271	1.33742612747331e-05	0.0116985009286237	7.56789982506191e-05	6.65313409059811e-06	5.92698660204682e-05	0.941845456411441	6.82247976216518e-05	7.16600020842032e-05	5.93411105187081e-05	0.0001251033645895	3.8204616545e-05
AMP22_0023	Creek_Chub	1.65833064273723e-05	0.00573835123562823	6.49543880514106e-06	0.0322794109784688	0.0312533607149186	0.00944244482039413	3.67846994805572e-05	0.0079344139615035	0.912945286939541	7.16131601903741e-05	9.6995620752938e-05	5.53142691405492e-05	7.8208557294504e-05	4.4736549393692e-05
AMP22_0024	Creek_Chub	0.00963009329920169	0.341471591695522	1.76906114075495e-05	1.76000939141776e-05	0.00279277459939299	0.410420481694201	6.07599732696985e-06	0.000641285118463791	0.234649891833464	9.39486103151043e-05	0.000127768264521032	5.98876810348528e-05	1.93894206776287e-05	5.15209256892664e-05
AMP22_0028	Creek_Chub	1.41759376091036e-05	0.000267460431498943	4.18760961382443e-06	9.00322474807621e-06	0.000112841602598765	9.40664585937981e-05	1.77570654177486e-05	6.88478170559697e-06	0.453175713529189	1.37475511171232e-05	1.61359061867041e-05	1.7164372821593e-05	0.546234775995215	1.60857920190156e-05
AMP22_0029	Creek_Chub	2.48852399780139e-05	0.000148105888469275	6.63766933565128e-06	2.43516059365657e-05	0.382863155469298	5.87139719296972e-05	0.013196948300659	0.011613086476922	0.591799748892585	3.73566957737817e-05	3.67906215978263e-05	6.19866769743768e-05	9.48976655647044e-05	3.33350828086418e-05
AMP22_0030	Creek_Chub	1.06200638461633e-05	0.00138599569310446	4.76076272981085e-06	0.00900495917745866	7.8815912661921e-05	0.000251756361042409	9.87761439942305e-06	9.47020301123545e-06	0.989117274731398	1.95196862603224e-05	2.65956261650223e-05	1.79937406017038e-05	4.90832339097912e-05	1.32773312687713e-05
AMP22_0037	Creek_Chub	3.57884646746114e-05	0.00492187109371133	1.19118165635502e-05	0.000589293346534549	0.0559533781058465	0.00655978547348729	1.61035160454039e-05	0.0537367572089036	0.877226952791214	0.000198052248179515	0.000212436110136709	0.000256567752427397	7.22687284996105e-05	0.000208833261468108
AMP22_0038	Creek_Chub	1.20098378646674e-05	0.000102154948579923	4.24655699340533e-06	1.22475581173576e-05	4.65424108036206e-05	0.000116682102403188	5.9837543431348e-06	1.11921638691581e-05	0.999614287704229	1.02019139518808e-05	1.01752730518653e-05	1.17830834225354e-05	2.63382570575956e-05	1.61550253351377e-05
AMP22_0044	Creek_Chub	1.17698924943165e-05	0.000488504972323722	4.54805834302279e-06	7.43584973142232e-06	0.105231124598533	0.000427838620837807	1.6328862330387e-05	6.64663267445727e-06	0.893700035144885	2.81335970386922e-05	2.22070028739889e-05	1.4747370014031e-05	2.50528170486546e-05	1.56263942499456e-05
AMP22_0045	Creek_Chub	2.79156622415849e-05	0.000884954039328532	5.27284552697054e-06	1.4915247837664e-05	8.7986655055611e-05	0.000103004388634308	7.48148300044345e-06	1.76220499639141e-05	0.998702999661366	2.11685377522301e-05	1.46685365974719e-05	1.97564599110765e-05	7.21265262135307e-05	2.01283449594189e-05
AMP22_0046	Western_Blacknose_Dace	1.42806007278921e-05	0.470493876835952	3.59606543293797e-06	0.000105360960056035	2.92337991385459e-05	0.528984500836375	5.06377919398601e-06	5.98390250140419e-06	0.000175645669792647	1.98500640076762e-05	1.54299402486645e-05	1.15271771858026e-05	0.000117782558192987	1.78682954032634e-05
AMP22_0048	Creek_Chub	5.85156215646324e-05	0.00983091463215476	3.26484443375625e-05	2.85887126412897e-05	0.000265704858319378	0.00837062921594414	3.48289237376796e-05	0.979248596101999	0.000938720471127394	0.000396749540177125	9.33776419844234e-05	0.000105640394723137	0.000546116822163897	4.89689244638613e-05
AMP22_0051	Western_Blacknose_Dace	2.66958483476799e-05	0.445339299848303	7.98981579350035e-06	1.3841370581262e-05	0.000140665705035482	0.551863982517975	7.17646676453783e-06	0.0020880508272604	0.000340934641380231	3.67125215236379e-05	3.31423922751666e-05	2.31421152387359e-05	3.2255171125012e-05	4.61109855636849e-05
AMP22_0052	Western_Blacknose_Dace	8.3945475960725e-06	0.519157901967565	2.53714843967451e-06	5.75036739637944e-06	9.77431884146126e-05	0.475932840363327	5.36643770651356e-06	6.7343877367714e-06	8.42817454383424e-05	6.95701289741678e-06	9.21124638742599e-06	0.00166800172443963	5.74070057920843e-05	0.0029568731033896
AMP22_0053	Creek_Chub	1.27455135865808e-05	0.0803563693289955	1.54663797596156e-05	8.75084719323648e-06	0.0515264984381696	0.000244275398233318	4.49997722454067e-06	0.00177572610435591	0.865812382251024	8.43672779621197e-05	5.51371188135614e-05	5.53018633692399e-05	2.23613706473792e-05	2.61182488237846e-05
