Mandeville_ID	Common_Name	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
AMP19_0002	Western_Blacknose_Dace	0.0267094541009283	0.0282578550965233	1.65669767599258e-05	0.354613035534819	0.0113192442767322	7.46877501088995e-06	0.518809616064032	6.80857309319378e-05	7.34419372180324e-05	0.0597627996100109	5.11644718525413e-05	4.73014670414977e-05	6.16420542539967e-05	0.000125332351128922	7.69915360585037e-05
AMP19_0003	Western_Blacknose_Dace	0.0133597046605804	0.0710578594242832	0.0891916841305792	0.279275777156154	1.57635694525829e-05	9.75455020399804e-06	0.526270483369629	0.000447711767673199	0.00175989433654392	0.00243066407329275	9.20041222466242e-05	0.00011470234935079	5.26082046361017e-05	0.0158619027674819	5.94855731371289e-05
AMP19_0004	Western_Blacknose_Dace	0.00023945095558942	0.371906964190304	0.00282586386134789	0.00265992893503988	8.27321791707323e-06	5.96498637772317e-06	0.00336890266575099	7.91375449604021e-05	6.68085769381992e-05	0.555574676255385	5.89038043843635e-05	0.000129699773846012	1.47895914356192e-05	0.0630190351071457	4.16004445124717e-05
AMP19_0005	Western_Blacknose_Dace	9.97086417050772e-06	0.000387414124336046	6.36083636094984e-06	0.000113043801202398	1.38343884008084e-05	4.07997943732827e-06	0.0453053999765155	1.58309103960542e-05	1.70836259348692e-05	0.000379117374525452	1.16163296464994e-05	1.39844240980193e-05	0.937399596581856	0.0162984552619358	2.42109664003572e-05
AMP19_0007	Western_Blacknose_Dace	7.80691042433024e-05	3.55998874497482e-05	3.5395095828118e-06	1.91358195767747e-05	6.5883263632199e-06	2.79625818403446e-06	0.969687435805798	1.1040741436924e-05	1.01266820581791e-05	3.08846488677074e-05	9.90662324584917e-06	1.33384784790716e-05	8.30028429674843e-06	0.0300663066195945	1.69312977562674e-05
AMP19_0008	Western_Blacknose_Dace	8.90662325531031e-06	0.00686556159889992	6.00636256311302e-06	3.8579053574786e-05	3.49636537831759e-05	2.8587860820845e-06	0.910809041380882	1.58719790680944e-05	0.0023886923602936	0.0124576240958109	0.00250651009911107	0.0024099434427643	1.33825473394124e-05	0.0624217281471938	2.032972944639e-05
AMP19_0009	Western_Blacknose_Dace	8.17691786429642e-06	0.522228410338362	3.16955458255134e-06	2.74705497360726e-05	4.86060457383249e-06	2.99872043796068e-06	6.939068296364e-05	4.91648719240153e-06	4.76553967403403e-06	0.477606502493223	4.70427817977463e-06	4.33182682918298e-06	7.6309344639558e-06	6.85680833218503e-06	1.58141564041737e-05
AMP22_0004	Creek_Chub	3.81470467312714e-05	0.00162304478924804	4.61758358114562e-06	0.155481123837332	7.06228816686102e-06	9.2081407741404e-06	0.838915023843447	2.27732246554322e-05	2.06588297823311e-05	0.00375818395840668	2.05589486974212e-05	2.42096275576885e-05	1.34842250763121e-05	7.60304117211209e-06	5.43003259175995e-05
AMP22_0005	Western_Blacknose_Dace	1.44511026023211e-05	0.633497200341227	0.00406156181671152	0.0327786379355627	6.16701095041578e-05	0.00555713488365291	0.000167960691504008	3.05992144123208e-05	4.09444571158423e-05	0.32361734121573	4.44388548369965e-05	3.81736374424021e-05	1.35383541504442e-05	9.26631227898595e-06	6.70810435933499e-05
AMP22_0007	Western_Blacknose_Dace	1.18074545421067e-05	0.402194299548864	3.31980762815651e-06	0.0238189663986365	8.27249680328104e-06	2.79863213052022e-06	0.000493927135644938	1.12212736273782e-05	1.19565360955012e-05	0.573386435245474	1.2497672690684e-05	1.01580568254879e-05	1.0240311618149e-05	7.17633356783498e-06	1.6923043006143e-05
AMP22_0011	Western_Blacknose_Dace	9.50080516437366e-06	0.40588048543036	4.0782815312609e-06	8.96963861673887e-05	6.35244424906605e-06	0.00202936078377206	0.000201951808348315	8.90010715474466e-06	7.6312310208039e-06	0.591705590619395	9.95378731776849e-06	1.04812695117368e-05	1.05255504763416e-05	6.8619220007656e-06	1.86295405723582e-05
AMP22_0013	Western_Blacknose_Dace	2.0864160401494e-05	0.389392022710294	6.12027082864256e-06	7.11083954890191e-05	1.19205863157701e-05	8.19765430671187e-06	0.00373251984654583	2.25147611935436e-05	2.47976439274057e-05	0.606577182551225	2.89964987928912e-05	2.25037341098924e-05	2.26391651152094e-05	1.70646646355863e-05	4.15474491901032e-05
AMP22_0014	Western_Blacknose_Dace	1.01213774889698e-05	0.411360454541941	3.47563476309566e-06	5.83948622157341e-05	6.17762501247328e-06	2.84234714749562e-06	7.22184964820301e-05	5.72574354018199e-06	5.23276030460796e-06	0.588435050273935	5.49078331919044e-06	5.38369839370282e-06	9.24744646481706e-06	4.82782888433992e-06	1.53569040725479e-05
AMP22_0015	Western_Blacknose_Dace	2.08850335456067e-05	0.41098149005572	3.55239529718741e-06	0.000121146255260985	6.0408518399308e-06	2.10400949931743e-05	0.000101596411384308	1.53703532150676e-05	1.49876980242483e-05	0.588640736458202	1.49160944923294e-05	1.62409040721295e-05	1.72928315361727e-05	5.42034483355021e-06	1.92844768542964e-05
AMP22_0017	Western_Blacknose_Dace	0.00105596824568309	0.325108061569432	6.81003406168137e-05	0.118635124737397	1.87308615101519e-05	9.23326728870502e-06	0.00335084728198177	0.000457265944093554	0.000185790756678907	0.447108032863587	0.000228873684392764	0.000398477155953115	2.27154384496575e-05	0.102850981608033	0.000501796810443198
AMP22_0022	Creek_Chub	1.4806947950347e-05	0.000300388556581689	6.87681741972097e-06	0.0110680445137247	6.93976076745243e-05	0.0452634007483721	0.942644024839004	0.000109125798494684	6.30065757385803e-05	0.000218346246374029	4.67438344539786e-05	8.12016644082283e-05	8.95088250698484e-06	1.08139157161389e-05	9.48712164487649e-05
AMP22_0023	Creek_Chub	1.58099262502681e-05	0.00558768827805568	3.65081208948224e-05	0.0322164109231477	0.00789501322796665	4.86507276670672e-06	0.910692246854305	4.86775901474699e-05	7.01654034941761e-05	0.0117873479968445	6.25379286494538e-05	3.72576501454241e-05	1.78605407989153e-05	0.0314984546940153	2.9155816274793e-05
AMP22_0024	Creek_Chub	1.062212202081e-05	0.299753381818533	5.90995508584909e-06	0.00241018628317547	0.000692004270578877	1.29941071670003e-05	0.232123961046338	6.23199431657491e-05	7.85087659757763e-05	0.45512950326999	5.47734375199575e-05	6.8195243616991e-05	0.00956169973253661	1.34971101092458e-05	2.2443181840097e-05
AMP22_0028	Creek_Chub	1.44217156196892e-05	0.000165549633353933	1.61883356323484e-05	9.54284423570904e-05	6.51707634463945e-06	3.29727326389371e-06	0.453068245410919	1.33643782234274e-05	1.19860135342192e-05	0.000232776404849309	1.31455268745671e-05	1.3373942901551e-05	1.07577960284061e-05	5.86407805183143e-06	0.546329083800316
AMP22_0029	Creek_Chub	6.19118215214105e-05	8.93130175660065e-05	0.0127978722118617	0.38374602154394	0.0120895135616108	8.88875153779918e-06	0.590813892965515	5.28440473305961e-05	2.81589685326145e-05	7.31316532972245e-05	2.72161410873974e-05	2.76964369236832e-05	3.06195727524565e-05	2.74961011172841e-05	0.000125423269493215
AMP22_0030	Creek_Chub	7.42175299237148e-06	0.000684007199826221	7.65792157272223e-06	8.32074781108382e-05	1.18493216955193e-05	3.53812957799364e-06	0.989134738792976	3.02544019081376e-05	3.0367680637602e-05	0.000913608977380611	3.36354533732103e-05	1.85498172947053e-05	7.87921069784827e-06	0.00897453309153207	5.87503228676178e-05
