Mandeville_ID	Common_Name	1	2	3	4	5	6	7
AMP19_0002	Western_Blacknose_Dace	0.530596199005842	0.0698923308259497	4.16446177709603e-05	2.0128813999887e-05	0.000111899193192287	0.388023088683685	0.0113147090669178
AMP19_0003	Western_Blacknose_Dace	0.549711596399546	0.0593549099055429	2.41333261837589e-05	0.0857403945873181	0.0162448216384898	0.28889168745776	3.24572897640461e-05
AMP19_0004	Western_Blacknose_Dace	0.0269474816321553	0.8951180849274	1.04447948585297e-05	0.00288093654531479	0.0646284444953004	0.0104005705520964	1.40374587300442e-05
AMP19_0005	Western_Blacknose_Dace	3.42284733400462e-05	0.986098150690397	7.5906088080448e-06	4.58660544731309e-05	0.0137599855616378	4.10574107546451e-05	1.31208637770285e-05
AMP19_0007	Western_Blacknose_Dace	0.969479100843271	3.74692460647511e-05	5.47904727104245e-06	5.61717086679864e-06	0.0303016777137915	0.000156704591560842	1.39516265829855e-05
AMP19_0008	Western_Blacknose_Dace	0.914886567513148	0.020817314485088	4.78684469339414e-06	3.54431828374205e-05	0.0634184174338977	0.000177214413385327	0.000660255978217485
AMP19_0009	Western_Blacknose_Dace	0.000205636335744018	0.999705648918947	5.50047630511402e-06	7.3096198785073e-06	1.01000196053216e-05	5.59780319443558e-05	9.82701671059336e-06
AMP22_0004	Creek_Chub	0.868383354147275	0.00247915206153908	1.84300209731266e-05	1.13015786682165e-05	1.13539393004718e-05	0.129082528156539	1.38798936596893e-05
AMP22_0005	Western_Blacknose_Dace	0.000541181224623552	0.959505635738373	0.00556253837972569	0.00412533188790743	2.3885927649582e-05	0.0301711309910752	7.02952220602045e-05
AMP22_0007	Western_Blacknose_Dace	0.00868625282509859	0.964512195587158	5.03453428357817e-06	5.89757412157494e-06	1.53582836831775e-05	0.0267604772807099	1.4784439855649e-05
AMP22_0011	Western_Blacknose_Dace	0.00911969019157523	0.98839394813776	0.00215252255330658	9.97210771179497e-06	1.17051833460429e-05	0.000300609088211168	1.15531961026318e-05
AMP22_0013	Western_Blacknose_Dace	0.0842121305069886	0.91560906046629	1.46755381695852e-05	1.635072417239e-05	2.86811527954535e-05	9.15417102462713e-05	2.75597128699659e-05
AMP22_0014	Western_Blacknose_Dace	0.00114057144233736	0.998777900139491	4.92435425712072e-06	7.34069474885083e-06	1.00102490785064e-05	4.9686732794058e-05	9.56639402524404e-06
AMP22_0015	Western_Blacknose_Dace	0.00080974115041106	0.998603103021781	6.77533664746403e-05	6.6110827520162e-06	1.07568219743622e-05	0.000482235910127636	1.97992264284927e-05
AMP22_0017	Western_Blacknose_Dace	0.0201850951048436	0.751333507955074	2.21253042828092e-05	0.000423632799553652	0.106056139044464	0.121904494826992	7.50045046065484e-05
AMP22_0022	Creek_Chub	0.945799368758996	0.000230305207886404	0.0449448656526705	1.1454290730312e-05	2.81740689745307e-05	0.00883390830517792	0.000151923564020812
AMP22_0023	Creek_Chub	0.926344442645709	0.00347714598318246	9.66685529681618e-06	3.17737928332366e-05	0.0327252617515624	0.0287352615351168	0.00867644758953247
AMP22_0024	Creek_Chub	0.309216719895601	0.68604312847058	3.34701504037432e-05	9.81812849850643e-06	3.47203978301559e-05	0.0035250516561066	0.00113709142482177
AMP22_0028	Creek_Chub	0.772575558463732	0.0335623821096184	0.00056594550748565	0.0785175497109691	0.00711309214797802	0.107394797002276	0.000270675132243891
AMP22_0029	Creek_Chub	0.638177513142427	6.3076358446811e-05	1.79691161456405e-05	0.0130628049139244	4.529742993774e-05	0.337214682574073	0.011418656561058
