Mandeville_ID	Common_Name	1	2	3	4	5
AMP19_0002	Western_Blacknose_Dace	0.512105924467246	0.477248621106148	0.0104227449920727	4.71774558948822e-05	0.00017553180211112
AMP19_0003	Western_Blacknose_Dace	0.402895367801189	0.492626402497292	7.9969003903381e-05	0.0883800178555151	0.016018243001774
AMP19_0004	Western_Blacknose_Dace	0.00793161820068654	0.930612935304642	1.28401697334252e-05	0.0022686095372422	0.0591739965640008
AMP19_0005	Western_Blacknose_Dace	2.13904201528594e-05	0.986462198813756	7.37037894344479e-05	3.60812490721682e-05	0.0134066256997176
AMP19_0007	Western_Blacknose_Dace	0.000323309858002124	0.968101117134094	9.58389584402039e-06	6.44082991559046e-06	0.0315595475633939
AMP19_0008	Western_Blacknose_Dace	0.000394671615142398	0.931300273458163	0.00045045963505995	2.17323714438466e-05	0.0678328631396095
AMP19_0009	Western_Blacknose_Dace	3.42066080453824e-05	0.999934521734715	1.3615018017024e-05	6.60749151502614e-06	1.10496902373052e-05
AMP22_0004	Creek_Chub	0.252286041637262	0.747675091048082	1.01679178935888e-05	1.0091889293907e-05	1.86072042652482e-05
AMP22_0005	Western_Blacknose_Dace	0.0218868612872126	0.974166894614697	8.83953919166609e-05	0.00383845639100764	1.93927311328666e-05
AMP22_0007	Western_Blacknose_Dace	0.0194232267389695	0.980540572464466	1.54080418802057e-05	7.3299307879531e-06	1.34625115235e-05
AMP22_0011	Western_Blacknose_Dace	0.00012287376134684	0.999847858885924	9.75325709073089e-06	9.01902366724211e-06	1.04959462911431e-05
AMP22_0013	Western_Blacknose_Dace	4.81503621927301e-05	0.999882279018561	2.65599239023438e-05	1.33681525928254e-05	2.96431468515629e-05
AMP22_0014	Western_Blacknose_Dace	0.00011057806787993	0.999862407604853	1.12052005203823e-05	6.32827082929702e-06	9.48127019192355e-06
AMP22_0015	Western_Blacknose_Dace	0.000212435112545076	0.999753212352594	1.80574917159972e-05	6.50343719015101e-06	9.79205971601651e-06
AMP22_0017	Western_Blacknose_Dace	0.0779383217779299	0.824764452834924	2.35263490222171e-05	0.000284832053384754	0.0969888664583365
AMP22_0022	Creek_Chub	0.0106118198692847	0.989259575943152	9.52467385434885e-05	1.0235641538793e-05	2.31216822681549e-05
AMP22_0023	Creek_Chub	0.0485224535131517	0.911163081427415	0.00793156714857711	8.93682124441204e-05	0.0322935297852382
AMP22_0024	Creek_Chub	0.00317615220382868	0.99652918535471	0.000261851250936914	1.01274105556173e-05	2.2683969274057e-05
AMP22_0028	Creek_Chub	0.168116390978297	0.750882291972637	0.0012863503967705	0.0730509168145557	0.00666405005233052
AMP22_0029	Creek_Chub	0.517325123369694	0.456286853084962	0.0122797484561646	0.0140815713287642	2.67036451035351e-05
AMP22_0030	Creek_Chub	0.000541167169329408	0.989823805054029	1.70661851497538e-05	1.32141782613696e-05	0.00960474730244217
AMP22_0037	Creek_Chub	0.0736924516446889	0.870544587016106	0.055176866295437	3.16740503321338e-05	0.000554420466750846
AMP22_0038	Creek_Chub	0.00016262878225263	0.99977670421203	1.79274935015601e-05	1.52432707827716e-05	2.74963779459543e-05
AMP22_0044	Creek_Chub	0.175010426635544	0.824956404487292	1.06459541026294e-05	1.0504247469099e-05	1.20185317384347e-05
AMP22_0045	Creek_Chub	0.000158178313995607	0.999730709552765	6.00723910306619e-05	2.1399167231389e-05	2.96408702524628e-05
AMP22_0046	Western_Blacknose_Dace	4.4361504887706e-05	0.999596366067727	1.13822476414473e-05	1.02242008387623e-05	0.000337666413048788
AMP22_0048	Creek_Chub	0.000926795542081079	0.019412735227061	0.979494659503301	0.000103532696472036	6.22770622104452e-05
AMP22_0051	Western_Blacknose_Dace	0.000183814603153636	0.997437385757764	0.00233554809655654	1.79129344373799e-05	2.53391546309967e-05
AMP22_0052	Western_Blacknose_Dace	0.00559393103348207	0.994365677316984	1.00613508960073e-05	1.68523847068568e-05	1.34785345591798e-05
AMP22_0053	Creek_Chub	0.0845679746282597	0.913734871764978	0.0016693040746601	7.88617997630431e-06	1.99637432025199e-05
AMP22_0054	Western_Blacknose_Dace	3.05772723185012e-05	0.999937531689803	1.42204888252322e-05	6.10382280162284e-06	1.15669921750913e-05
AMP22_0058	Creek_Chub	0.0254472168204763	0.971577908913294	0.00295486577791356	6.34104550313976e-06	1.36673100705607e-05
AMP22_0061	Creek_Chub	0.00013872295179692	0.999806846996148	1.96041131269495e-05	1.32908325831684e-05	2.15362475425828e-05
AMP22_0062	Western_Blacknose_Dace	0.142299793961147	0.857636310239633	2.82255983170991e-05	1.03759916153643e-05	2.52947722143135e-05
AMP22_0067	Creek_Chub	0.000290600600872495	0.974364189704259	4.2334341681859e-05	0.0252716800582906	3.11952524191153e-05
AMP22_0071	Creek_Chub	0.0777694849893451	0.922185269137224	1.50804386420165e-05	1.51940021037758e-05	1.49711603127264e-05
AMP22_0072	Creek_Chub	0.000500186162030119	0.952069581647714	0.00610144877833469	1.96071549047176e-05	0.0413091758880764
AMP22_0075	Creek_Chub	0.000450814610551578	0.999442663371563	1.76365810700697e-05	3.00093474735063e-05	5.88767159776723e-05
AMP22_0082	Common_Shiner	0.975931238412857	0.00655360346998865	0.000711070532407497	0.0167841368600105	1.99504189079507e-05
AMP22_0084	Creek_Chub	0.114241634917756	0.885727230906487	1.45844310152599e-05	6.86660454274727e-06	9.68360821650061e-06
AMP22_0085	Creek_Chub	0.52653659320871	0.394869146625201	0.00778153935024907	0.0681721856693427	0.00264053512005228
