Mandeville_ID	Common_Name	1	2	3
AMP19_0002	Western_Blacknose_Dace	0.000104211116451528	0.99188035885493	0.00801543075667966
AMP19_0003	Western_Blacknose_Dace	0.0155271103290531	0.984458066165447	1.48234620014769e-05
AMP19_0004	Western_Blacknose_Dace	0.0620551675756772	0.937933692554633	1.11398986029197e-05
AMP19_0005	Western_Blacknose_Dace	0.0148870125859976	0.98510002164046	1.29650750355073e-05
AMP19_0007	Western_Blacknose_Dace	0.0348229127308975	0.965167447308699	9.63973509028675e-06
AMP19_0008	Western_Blacknose_Dace	0.0710403775547942	0.928889442801476	7.0179387326138e-05
AMP19_0009	Western_Blacknose_Dace	9.55887731817202e-06	0.999984367132187	6.07477178394627e-06
AMP22_0004	Creek_Chub	1.7071619540754e-05	0.999973012705644	9.91579575742654e-06
AMP22_0005	Western_Blacknose_Dace	1.88890559537477e-05	0.994949129382769	0.00503198189494045
AMP22_0007	Western_Blacknose_Dace	1.26119290554935e-05	0.999978355526924	9.03279362648189e-06
AMP22_0011	Western_Blacknose_Dace	1.60166020772987e-05	0.999301991522312	0.000681992207657406
AMP22_0013	Western_Blacknose_Dace	1.51804264568362e-05	0.999962817311287	2.20028652183423e-05
AMP22_0014	Western_Blacknose_Dace	9.88455336666643e-06	0.999983899652958	6.2165480354355e-06
AMP22_0015	Western_Blacknose_Dace	1.00908440821141e-05	0.999978115816911	1.17941040597638e-05
AMP22_0017	Western_Blacknose_Dace	0.101708992640177	0.898251712481181	3.9294716913884e-05
AMP22_0022	Creek_Chub	1.79619279889119e-05	0.940789803345998	0.0591922347744306
AMP22_0023	Creek_Chub	0.0369349809711178	0.958078265766303	0.00498675342697728
AMP22_0024	Creek_Chub	2.46330284661852e-05	0.999352281630039	0.00062308541699856
AMP22_0028	Creek_Chub	0.00601406159651621	0.98368266950051	0.0103032689698351
AMP22_0029	Creek_Chub	3.28531194214486e-05	0.991797816336155	0.00816933091982113
AMP22_0030	Creek_Chub	0.00962881847323539	0.990362903018792	8.27788910976798e-06
AMP22_0037	Creek_Chub	0.000889671561443711	0.961173037787278	0.0379372905145089
AMP22_0038	Creek_Chub	2.2724992933738e-05	0.999962956468264	1.43193760970097e-05
AMP22_0044	Creek_Chub	1.8008775489038e-05	0.999971454600493	1.0536981256323e-05
AMP22_0045	Creek_Chub	1.55489356855565e-05	0.999965236902237	1.9214963612291e-05
AMP22_0046	Western_Blacknose_Dace	0.00052906253516823	0.999462906519572	8.03187155837441e-06
AMP22_0048	Creek_Chub	7.23556902992186e-05	0.023261995670889	0.976665648500125
AMP22_0051	Western_Blacknose_Dace	3.43096945387318e-05	0.998561888456345	0.00140380182091433
AMP22_0052	Western_Blacknose_Dace	8.39160725959735e-06	0.999984819710255	6.78919098462051e-06
AMP22_0053	Creek_Chub	2.50298644597082e-05	0.998788105289141	0.00118686436789127
AMP22_0054	Western_Blacknose_Dace	1.0344699934072e-05	0.999984096904596	5.55891788294739e-06
AMP22_0058	Creek_Chub	1.30957040904001e-05	0.99880993938446	0.00117696467660348
AMP22_0061	Creek_Chub	2.93492639591466e-05	0.99994466505448	2.59860542825401e-05
AMP22_0062	Western_Blacknose_Dace	2.29252860371925e-05	0.999955816070239	2.12592294891121e-05
AMP22_0067	Creek_Chub	3.53972504667034e-05	0.999941900034745	2.27035217281306e-05
AMP22_0071	Creek_Chub	1.32299580781343e-05	0.999899870038032	8.69006886821863e-05
AMP22_0072	Creek_Chub	0.044702060861513	0.950899646103382	0.00439829263743013
AMP22_0075	Creek_Chub	2.17429130905223e-05	0.999702626407146	0.000275631303286402
AMP22_0082	Common_Shiner	1.83667156368705e-05	0.999898102502028	8.35310884830545e-05
AMP22_0084	Creek_Chub	1.14829684246378e-05	0.999980493326982	8.0240597422792e-06
AMP22_0085	Creek_Chub	0.000647117060736761	0.924749740044276	0.0746031425856054
AMP22_0086	Hornyhead_Chub	3.61385953945107e-05	0.974329773128033	0.0256340885162354
AMP22_0088	Creek_Chub	9.44531655353528e-06	0.999959362387657	3.11926763962772e-05
AMP22_0093	Western_Blacknose_Dace	1.6754121505223e-05	0.999616565843423	0.000366680372732432
AMP22_0094	Western_Blacknose_Dace	3.23629222219057e-05	0.999948841869831	1.87960943691662e-05
AMP22_0095	Western_Blacknose_Dace	0.0551347012644013	0.73109659598271	0.213768702914317
AMP22_0096	Western_Blacknose_Dace	0.00360604895959864	0.996383819103241	1.01315490404642e-05
AMP22_0099	Western_Blacknose_Dace	0.00418295284774612	0.995807913541794	9.13364640221444e-06
AMP22_0101	Western_Blacknose_Dace	8.52786632317121e-06	0.999977112372716	1.43602140956275e-05
AMP22_0102	Western_Blacknose_Dace	1.93707728265209e-05	0.999965480466684	1.51494651603888e-05
AMP22_0105	Western_Blacknose_Dace	9.9134956440399e-06	0.999978705743949	1.13811178270251e-05
AMP22_0106	Western_Blacknose_Dace	1.20653205551713e-05	0.984842335820198	0.0151455988942956
AMP22_0107	Western_Blacknose_Dace	0.0060352467733707	0.842810433824857	0.151154319087664
AMP22_0108	Western_Blacknose_Dace	0.0154231175781849	0.907303761422634	0.0772731209099293
AMP22_0110	Western_Blacknose_Dace	1.00149352987249e-05	0.995711340308189	0.00427864461862676
AMP22_0114	Western_Blacknose_Dace	1.52016318490179e-05	0.99997714706262	7.65209040921965e-06
AMP22_0116	Western_Blacknose_Dace	1.58827942989986e-05	0.996917105913162	0.00306701172023168
AMP22_0117	Western_Blacknose_Dace	1.26631338619103e-05	0.999936683913072	5.06533373100648e-05
