Mandeville_ID	Common_Name	1	2	3	4	5	6	7	8	9	10
AMP19_0002	Western_Blacknose_Dace	1.51994960972174e-05	2.71733382824246e-05	0.372264413317045	0.00012194644986939	0.22313854259563	0.297774275292953	0.0263235896152134	0.0129600696603302	1.89269012070805e-05	0.0673558630576978
AMP19_0003	Western_Blacknose_Dace	0.0865743448920548	0.00244782515525827	0.28965974059701	0.0167555113038979	0.523640745788813	0.000115928559595484	0.015895331780756	2.52239695593496e-05	1.78248641661618e-05	0.0648675228857125
AMP19_0004	Western_Blacknose_Dace	0.00305491306856857	4.3234838505127e-05	0.00582356378887074	0.0632827995382249	0.00139946472928113	0.0332542508672812	0.000553700956765483	1.79696038132758e-05	8.95360411065689e-06	0.892561149199804
AMP19_0005	Western_Blacknose_Dace	3.17188020750223e-05	1.80367921640311e-05	5.33152315725406e-05	0.0137608348862268	5.03846636839136e-05	3.33739827283751e-05	9.03497252360926e-06	2.93945175655188e-05	5.14268626363199e-06	0.98600876301527
AMP19_0007	Western_Blacknose_Dace	5.95419389844201e-06	4.08321422628276e-05	2.69608604224327e-05	0.0298329979895304	0.222226773165166	0.747688820362091	0.000105351367298506	1.57347494771635e-05	4.93667051690245e-06	5.16376598759758e-05
AMP19_0008	Western_Blacknose_Dace	1.63135899056797e-05	7.35344766771459e-05	0.000155804981079372	0.063437140494585	0.257157359575232	0.658351777176062	1.30448395484234e-05	0.00063005753301064	3.81658959798813e-06	0.0201611513307629
AMP19_0009	Western_Blacknose_Dace	5.0102421521112e-06	3.11868416429191e-05	7.96626044076589e-05	7.93679533035623e-06	0.000311569287126853	0.000198774349823934	1.97503137281631e-05	8.72716428830361e-06	6.98729035313271e-06	0.999330395440261
AMP22_0004	Creek_Chub	9.81479364337534e-06	5.22492125475207e-05	0.151601510653893	9.73557006693589e-06	0.00119854537639411	0.84579266311725	8.15129938527658e-05	9.68604034053446e-06	2.31836398817243e-05	0.00122109860492513
AMP22_0005	Western_Blacknose_Dace	0.00405854380115246	4.87965397254646e-05	0.0377661777498821	1.56874773809134e-05	0.000382412359564763	0.000991792938291429	2.01683334928729e-05	7.10100741067618e-05	0.00551246640264678	0.951132944087187
AMP22_0007	Western_Blacknose_Dace	6.74077286951984e-06	3.02807197533052e-05	0.032945439254089	1.02787650915714e-05	0.000755505717485521	0.0121541592419592	2.01178044246372e-05	7.36871564607039e-06	5.2936858277849e-06	0.954064814925194
