Mandeville_ID	Common_Name	1	2	3	4	5	6	7	8	9
AMP19_0002	Western_Blacknose_Dace	0.541650870700677	2.9405584611045e-05	0.0296892428857585	1.59023160204329e-05	1.29050092132233e-05	0.354356919859846	0.00050094870281821	0.06345060610647	0.0102931989659943
AMP19_0003	Western_Blacknose_Dace	0.539690750420094	0.000228952275816097	0.0164572165400411	0.0903523370648424	2.49081667253743e-05	0.278072251051664	0.0167758885659277	0.0583809085919832	1.67873420903057e-05
AMP19_0004	Western_Blacknose_Dace	0.014826655896966	6.11962280026325e-05	0.000334882570943311	0.00303699674288509	6.44687444735968e-06	0.0101744920413504	0.0638125650137663	0.907736812233925	9.95218185834674e-06
AMP19_0005	Western_Blacknose_Dace	4.03492238637076e-05	2.28197437192999e-05	1.21743383966241e-05	2.14967265873586e-05	4.48078936929685e-06	5.03110401930262e-05	0.013856815242519	0.985972367783387	1.91851497345803e-05
AMP19_0007	Western_Blacknose_Dace	0.969647553523382	1.81434935465077e-05	0.000111274298981077	4.72598746289993e-06	4.95485380715865e-06	3.09184929163623e-05	0.0301444221735001	2.54070623943673e-05	1.26001117516753e-05
AMP19_0008	Western_Blacknose_Dace	0.914832897146543	8.11239224337157e-05	1.01867278925302e-05	2.42729377863291e-05	4.37247107477301e-06	0.000108319122656993	0.0629749084301293	0.0212384073313636	0.000725511084086878
AMP19_0009	Western_Blacknose_Dace	0.000189829664914893	3.38786729494034e-05	1.20805568317464e-05	5.30242120374276e-06	5.23315837227765e-06	4.7506655851603e-05	9.48681637045704e-06	0.999688714504242	7.96807936368358e-06
AMP22_0004	Creek_Chub	0.83919905825456	3.14194448844204e-05	4.41840601227034e-05	1.10492811810836e-05	1.62136370962832e-05	0.157695471058289	7.69670078214187e-06	0.00298763210382703	7.27559086831825e-06
AMP22_0005	Western_Blacknose_Dace	0.00233352896997541	0.000103809918862632	2.31687948943648e-05	0.00411981361896809	0.00547964739170857	0.0368439260857801	1.24835293118538e-05	0.951009037733078	7.4584276037212e-05
AMP22_0007	Western_Blacknose_Dace	0.00632052986489226	5.64692715906368e-05	1.10939347003104e-05	5.83747904334952e-06	4.1529219239983e-06	0.0338956493741522	9.94426226677457e-06	0.959680859764417	1.54629975514414e-05
AMP22_0011	Western_Blacknose_Dace	7.94803572465608e-05	2.91597857394174e-05	1.54191825123512e-05	1.13504260923509e-05	0.00215892630248951	0.000287406926066969	8.34171167171559e-06	0.997401224871477	8.69041190702977e-06
AMP22_0013	Western_Blacknose_Dace	0.0823352909294578	3.5257576733444e-05	4.01435355317693e-05	9.32894169682245e-06	1.07200679916372e-05	0.00010903913833464	1.67577382956924e-05	0.917420016805331	2.34454544953739e-05
AMP22_0014	Western_Blacknose_Dace	0.000121819004949382	2.63425864679383e-05	1.43411037369274e-05	5.55492382570876e-06	4.35931466429889e-06	5.31468323995084e-05	1.18367548890174e-05	0.999754846692085	7.75297713425057e-06
AMP22_0015	Western_Blacknose_Dace	0.000736288531340392	4.79401913087655e-05	5.42061915220825e-05	8.08123852931275e-06	5.34755688067519e-05	0.00026883151605389	8.69195474670939e-06	0.998811437328657	1.1047491060223e-05
AMP22_0017	Western_Blacknose_Dace	0.0370363565084212	0.000934748772129992	0.00250030193575556	0.000466210592702978	1.404293555473e-05	0.117009147077799	0.102902649179101	0.739102018753688	3.45244136078979e-05
AMP22_0022	Creek_Chub	0.940961346526941	6.03597573468545e-05	1.89588613863764e-05	1.4316087433559e-05	0.0452945145554841	0.013269563992423	1.33176650101545e-05	0.000249599233623177	0.000118023237052872
AMP22_0023	Creek_Chub	0.926752834697564	4.37217569062286e-05	4.43194453201801e-05	8.51842496522613e-05	1.08876929237148e-05	0.0318080629312899	0.031986320335418	0.00124204208869696	0.00802662695125522
AMP22_0024	Creek_Chub	0.307626584683855	2.52065269662419e-05	1.94675876031647e-05	9.28516703886771e-06	3.58795725460647e-05	0.00646467747401377	2.15861239910367e-05	0.684835141261419	0.000962171784470507
AMP22_0028	Creek_Chub	0.460531580259403	0.539077344705661	3.06685219544387e-05	2.01057111124076e-05	5.65611790398191e-06	0.000121253116824562	1.14620335959822e-05	0.000194334616504782	7.59500319600347e-06
AMP22_0029	Creek_Chub	0.587069697479407	0.000145464886675755	4.31750820550222e-05	0.0135741620485981	1.35482404572295e-05	0.387320050170024	1.73116417374995e-05	0.000213223405727875	0.0116033669504492
AMP22_0030	Creek_Chub	0.989828375240167	9.9667596058424e-05	1.90902422172693e-05	1.6989509490568e-05	6.58925187101849e-06	6.83821372514216e-05	0.00908864625023367	0.000855051471126589	1.72084176834916e-05
AMP22_0037	Creek_Chub	0.884894242584705	4.78800777115752e-05	2.57169902211776e-05	1.95666434918908e-05	1.97645372615924e-05	0.0540796485217288	0.00102923477615934	0.00571460157294805	0.0541693439713369
AMP22_0038	Creek_Chub	0.999667948126793	6.03101949144924e-05	3.19610724689382e-05	7.07140267213319e-06	1.11464928810321e-05	3.2742894353284e-05	1.45522313070964e-05	0.000166431924160675	7.8363235540978e-06
