Mandeville_ID	Common_Name	1	2	3	4
AMP19_0002	Western_Blacknose_Dace	0.484366835723321	0.0116392514534915	4.36329084132606e-05	0.503950279504061
AMP19_0003	Western_Blacknose_Dace	0.507152282565832	0.0139960421255479	0.0898878169730306	0.388963857516646
AMP19_0004	Western_Blacknose_Dace	0.936587883492311	0.0546382093479236	0.00231509085285992	0.00645881681001771
AMP19_0005	Western_Blacknose_Dace	0.985897543927034	0.0139989325436763	6.34678477409881e-05	4.00562632083705e-05
AMP19_0007	Western_Blacknose_Dace	0.973005232572556	0.0267630566436176	9.68412927093442e-06	0.000222026196291802
AMP19_0008	Western_Blacknose_Dace	0.934081484138966	0.06562243011718	2.58777951831956e-05	0.000270207938144557
AMP19_0009	Western_Blacknose_Dace	0.999940407256285	1.32911016818968e-05	8.39198260911294e-06	3.79109186797666e-05
AMP22_0004	Creek_Chub	0.750772925337156	2.3681851043776e-05	1.47747034605494e-05	0.249188618009289
AMP22_0005	Western_Blacknose_Dace	0.97510374323527	7.54800330282614e-05	0.00384752316124892	0.0209732537539676
AMP22_0007	Western_Blacknose_Dace	0.980167292833328	1.81639181514528e-05	9.43038464106187e-06	0.0198051131052586
AMP22_0011	Western_Blacknose_Dace	0.999839631001155	1.57557533833458e-05	1.16948515065912e-05	0.000132918798122632
AMP22_0013	Western_Blacknose_Dace	0.999861647148927	2.58825031273826e-05	2.04631382201069e-05	9.20077892235279e-05
AMP22_0014	Western_Blacknose_Dace	0.999875392357508	1.24023612695086e-05	9.3824842563286e-06	0.000102823316547891
AMP22_0015	Western_Blacknose_Dace	0.999756805360317	1.44612965950358e-05	9.38446683579949e-06	0.000219349801934495
AMP22_0017	Western_Blacknose_Dace	0.823394216795762	0.096460030272603	0.000455726851199737	0.0796900259020428
AMP22_0022	Creek_Chub	0.987188631117344	0.00130772299480208	1.54935648137827e-05	0.0114881523968118
AMP22_0023	Creek_Chub	0.913103730420272	0.0398280317156265	9.3366783466175e-05	0.0469748711905753
AMP22_0024	Creek_Chub	0.996572409967581	8.72220607360708e-05	1.34296505319023e-05	0.00332693867983904
AMP22_0028	Creek_Chub	0.752462540090084	0.0126724563039218	0.0704777672663331	0.164387236446142
AMP22_0029	Creek_Chub	0.450505224853754	0.0108676040448481	0.0139190757622321	0.524708095331987
AMP22_0030	Creek_Chub	0.990391994476318	0.00854502701495464	1.57474996383017e-05	0.00104723119243425
AMP22_0037	Creek_Chub	0.87772638609012	0.0491142950858921	3.21735296511849e-05	0.0731271461714059
AMP22_0038	Creek_Chub	0.999814284781615	3.48547635306195e-05	1.79555637992412e-05	0.000132905308170177
AMP22_0044	Creek_Chub	0.82735198456049	1.49201907926585e-05	1.16398358369839e-05	0.172621455334127
AMP22_0045	Creek_Chub	0.999685097754002	3.5918023582999e-05	2.47329002535493e-05	0.000254251651237001
AMP22_0046	Western_Blacknose_Dace	0.999841261923313	7.65664468122509e-05	1.38122236194955e-05	6.83596155787554e-05
AMP22_0048	Creek_Chub	0.0570788819864036	0.941696531196435	0.000138714939944501	0.0010858720680713
AMP22_0051	Western_Blacknose_Dace	0.998141677776972	0.00151627172535855	1.98376475775902e-05	0.00032221314388654
AMP22_0052	Western_Blacknose_Dace	0.991648182014624	1.85778387115258e-05	1.99658193558839e-05	0.00831327424829237
AMP22_0053	Creek_Chub	0.914536220908165	0.000728278999309714	1.40250876068422e-05	0.0847214755043387
AMP22_0054	Western_Blacknose_Dace	0.999925986766815	1.23165223339773e-05	9.4560173666264e-06	5.22410425161074e-05
AMP22_0058	Creek_Chub	0.973547147234281	0.00184406784837095	8.89884474173675e-06	0.0245998856938677
AMP22_0061	Creek_Chub	0.999446399192015	4.12187475991466e-05	1.70760089342287e-05	0.000495306939868236
AMP22_0062	Western_Blacknose_Dace	0.85826994774739	4.69063913028614e-05	1.47479040955677e-05	0.141668397881091
AMP22_0067	Creek_Chub	0.971835914631685	9.20236490704363e-05	0.0260237903719147	0.00204827123939432
AMP22_0071	Creek_Chub	0.921985597531001	1.54599452241858e-05	2.33238563248059e-05	0.0779756188069781
AMP22_0072	Creek_Chub	0.954549018482367	0.0447124209925532	4.22257887644447e-05	0.00069633496290526
AMP22_0075	Creek_Chub	0.998683130900065	6.92426993346354e-05	4.18522644242391e-05	0.0012057747393033
AMP22_0082	Common_Shiner	0.00381483265602712	0.000214345873642619	0.0174539386515195	0.978516882618268
AMP22_0084	Creek_Chub	0.890164920767148	1.54057642015278e-05	8.00851845720243e-06	0.109811664652079
AMP22_0085	Creek_Chub	0.384346661974986	0.0134832627223028	0.0687116919532418	0.533458383272091
AMP22_0086	Hornyhead_Chub	0.442126526802778	0.0374164110956093	0.000680861978353478	0.519776200433572
AMP22_0088	Creek_Chub	0.999817689498266	3.21750040106573e-05	2.60130198113005e-05	0.000124123286044795
AMP22_0093	Western_Blacknose_Dace	0.9851662829717	6.02427283519788e-05	1.66373760927693e-05	0.0147568372841148
AMP22_0094	Western_Blacknose_Dace	0.999756677925587	2.97966810772245e-05	2.42680131759972e-05	0.000189257739405346
AMP22_0095	Western_Blacknose_Dace	0.93925258098046	0.0595592074543238	4.02153226320628e-05	0.00114799638901027
AMP22_0096	Western_Blacknose_Dace	0.991727877378464	0.00194714651211109	8.25348684913997e-06	0.00631672306913761
AMP22_0099	Western_Blacknose_Dace	0.99790359210968	0.00199029000584374	3.19319628866428e-05	7.41860927943685e-05
AMP22_0101	Western_Blacknose_Dace	0.999890670200189	1.68338418946111e-05	1.17880889773929e-05	8.07086871212242e-05
